7IronHide
Change Datachange data icon	Club Speed	Attack Ang.	Ball Speed	Spin Rate	Carry	Side				
m, m/schange unit icon
m/s	Deg	m/s	Rpm	m	m				
1.	Eye icon		
Ball icon
37.0	-4.5	50.8	5571	146.3	1.0L				
2.	Eye icon		
Ball icon
43.4	-4.9	59.9	3048	180.3	11.0L				
3.	Eye icon		
Ball icon
43.6	-1.5	59.7	3297	172.5	6.0L				
4.	Eye icon		
Ball icon
26.5	-	26.6	7782	56.3	2.8L				
5.	Eye icon		
Ball icon
42.0	-7.7	57.3	2556	169.5	8.5L				
6.	Eye icon		
Ball icon
32.9	-	43.8	8797	112.9	0.6R				
7.	Eye icon		
Ball icon
26.9	-3.1	22.3	4729	43.0	0.1R				
8.	Eye icon		
Ball icon
32.4	-	43.2	8531	111.6	2.1L				
9.	Eye icon		
Ball icon
26.7	-	25.1	7021	51.4	0.1L				
10.	Eye icon		
Ball icon
32.6	-	38.8	8042	98.0	2.8L				
11.	Eye icon		
Ball icon
38.4	-4.1	50.4	5954	142.9	6.0L				
12.	Eye icon		
Ball icon
29.6	-4.5	30.5	8621	69.2	2.0L				
13.	Eye icon		
Ball icon
33.6	-	37.0	7533	92.6	3.5L				
Average	Balls icon	32.8	-3.5	38.9	6898	99.7	2.3L				
Consistency	5.1	1.1	11.4	1708	40.5	2.1		
